,Unnamed: 0,Date,close,high,low,open,volumefrom,volumeto,candlestick_pattern,candlestick_match_count
187,187,2019-08-13,10872.0,11439.48,10765.3,11387.41,43742.98,483240069.77,CDLBELTHOLD_Bear,2.0
188,188,2019-08-14,10031.89,10873.44,9924.58,10872.0,70125.86,728247545.72,CDLBELTHOLD_Bear,1.0
189,189,2019-08-15,10308.51,10451.61,9497.12,10031.89,84438.15,842979140.9,NO_PATTERN,0.0
190,190,2019-08-16,10360.43,10544.97,9764.32,10308.51,62357.48,635040831.46,CDLLONGLEGGEDDOJI_Bull,4.0
191,191,2019-08-17,10220.75,10474.64,10010.76,10360.43,24470.79,251018339.59,NO_PATTERN,0.0
192,192,2019-08-18,10326.25,10512.89,10079.46,10220.75,21614.15,223456175.83,CDLSPINNINGTOP_Bull,2.0
193,193,2019-08-19,10922.16,10937.26,10278.31,10326.25,39936.81,426168059.98,CDLBELTHOLD_Bull,3.0
194,194,2019-08-20,10770.76,10956.06,10576.37,10922.16,30891.56,332208752.04,NO_PATTERN,0.0
195,195,2019-08-21,10131.67,10805.7,9870.07,10770.76,57446.51,584554031.67,CDLBELTHOLD_Bear,1.0
196,196,2019-08-22,10104.11,10231.99,9777.06,10131.67,38005.1,380411207.72,CDLRICKSHAWMAN_Bull,5.0
197,197,2019-08-23,10410.49,10468.14,10053.67,10104.11,31466.97,324471966.33,NO_PATTERN,0.0
198,198,2019-08-24,10150.07,10430.99,9911.2,10410.49,28068.47,283755017.73,NO_PATTERN,0.0
199,199,2019-08-25,10141.75,10353.95,9907.03,10150.07,25686.72,259448931.12,CDLMATCHINGLOW_Bull,6.0
200,200,2019-08-26,10364.91,10626.93,10141.75,10141.75,42155.28,437989368.7,NO_PATTERN,0.0
201,201,2019-08-27,10175.47,10381.92,10038.26,10364.91,26481.68,269489962.47,NO_PATTERN,0.0
202,202,2019-08-28,9722.83,10281.59,9600.83,10175.47,49145.33,486936428.33,NO_PATTERN,0.0
203,203,2019-08-29,9492.81,9724.52,9344.69,9722.83,42711.51,406305621.25,NO_PATTERN,0.0
204,204,2019-08-30,9587.25,9699.85,9368.27,9492.81,28941.49,276606372.89,CDLSPINNINGTOP_Bull,1.0
205,205,2019-08-31,9624.54,9714.11,9512.03,9587.25,15427.47,148320616.41,CDLRICKSHAWMAN_Bull,6.0
206,206,2019-09-01,9768.36,9823.53,9578.66,9624.54,15485.86,149995549.7,NO_PATTERN,0.0
207,207,2019-09-02,10387.5,10459.0,9764.76,9768.36,42504.5,429220162.8,CDLBELTHOLD_Bull,1.0
208,208,2019-09-03,10625.1,10773.27,10296.3,10387.5,52101.71,550564712.84,NO_PATTERN,0.0
209,209,2019-09-04,10585.2,10827.14,10392.88,10625.1,41229.09,436210232.43,CDLRICKSHAWMAN_Bull,5.0
210,210,2019-09-05,10556.16,10659.6,10475.88,10585.2,23957.29,253210793.56,CDLRICKSHAWMAN_Bull,5.0
211,211,2019-09-06,10309.91,10938.39,10228.17,10556.16,54409.77,577987384.8,NO_PATTERN,0.0
212,212,2019-09-07,10491.96,10574.99,10304.22,10309.91,18864.32,197436363.34,NO_PATTERN,0.0
213,213,2019-09-08,10420.88,10595.71,10286.85,10491.96,18990.22,198370974.82,CDLSPINNINGTOP_Bear,1.0
214,214,2019-09-09,10314.88,10514.59,10101.87,10420.88,33044.44,340516851.61,NO_PATTERN,0.0
215,215,2019-09-10,10109.46,10395.1,9966.94,10314.88,26197.16,266382297.99,NO_PATTERN,0.0
216,216,2019-09-11,10165.01,10251.97,9874.13,10109.46,28189.47,283998084.25,CDLSPINNINGTOP_Bull,1.0
217,217,2019-09-12,10428.96,10472.07,10057.09,10165.01,26821.06,275877681.63,NO_PATTERN,0.0
218,218,2019-09-13,10372.29,10591.45,9855.34,10428.96,24372.25,251594742.18,CDLHIGHWAVE_Bear,2.0
219,219,2019-09-14,10365.56,10455.38,10251.96,10372.29,15570.76,161565882.04,CDLMATCHINGLOW_Bull,6.0
220,220,2019-09-15,10313.02,10401.53,10279.58,10365.56,11651.76,120645589.34,NO_PATTERN,0.0
221,221,2019-09-16,10271.79,10411.06,10103.87,10313.02,27381.87,280632567.99,CDLHIGHWAVE_Bear,2.0
222,222,2019-09-17,10198.62,10297.99,10152.47,10271.79,21680.68,221966422.11,NO_PATTERN,0.0
223,223,2019-09-18,10163.38,10272.19,10100.9,10198.62,21739.97,221697128.61,CDLSPINNINGTOP_Bear,2.0
224,224,2019-09-19,10281.03,10368.46,9641.11,10163.38,45685.81,456963432.6,NO_PATTERN,0.0
225,225,2019-09-20,10176.38,10321.18,10065.55,10281.03,20930.03,213229233.56,NO_PATTERN,0.0
226,226,2019-09-21,9988.38,10187.64,9944.61,10176.38,17868.39,179453539.43,CDLBELTHOLD_Bear,2.0
227,227,2019-09-22,10036.98,10096.66,9871.97,9988.38,17799.44,178007946.58,CDLSPINNINGTOP_Bull,1.0
228,228,2019-09-23,9694.6,10073.79,9636.2,10036.98,33287.92,327752087.22,NO_PATTERN,0.0
229,229,2019-09-24,8542.54,9787.58,8107.01,9694.6,121811.28,1084866143.86,NO_PATTERN,0.0
230,230,2019-09-25,8446.97,8752.2,8246.24,8542.54,74724.79,631898763.59,CDLHIGHWAVE_Bear,2.0
231,231,2019-09-26,8074.99,8471.02,7753.71,8446.97,80375.17,652614929.72,CDLBELTHOLD_Bear,2.0
232,232,2019-09-27,8201.36,8304.22,7888.5,8074.99,48376.65,390323710.89,NO_PATTERN,0.0
233,233,2019-09-28,8223.65,8345.03,8044.45,8201.36,29802.19,244186983.17,CDLRICKSHAWMAN_Bull,6.0
234,234,2019-09-29,8065.26,8265.99,7943.33,8223.65,28053.51,226712656.15,NO_PATTERN,0.0
